drink_name,is_alcoholic,category,glassType,drink_ingredients,drink_instructions,ingredientMeasures
Egg-Nog - Classic Cooked,Optional alcohol,Punch / Party Drink,Pitcher,"Egg, Sugar, Salt, Milk, Vanilla extract","In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.","['6 ', '1/4 cup ', '1/4 tsp ', '1 qt ', '1 tsp ']"
Empellón Cocina's Fat-Washed Mezcal,Alcoholic,Cocktail,Beer Glass,"Mezcal, Chocolate liqueur, Coffee liqueur","To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs):

4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.

Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth.

Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion.

If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade.

Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.

The mezcal is now ready for drinking, straight-up or in a cocktail. 

Habanero tincture

Slice habaneros and add 2 ounces Ilegal Joven mezcal.
Allow to sit overnight or until desired level of heat is achieved.
Cocktail

Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.
Strain into chilled coupe.
Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.
Garnish with 5 drops habanero tincture.","['2 oz', '3/4 oz', '1/2 oz']"
Frosé,Alcoholic,Cocktail,Cocktail glass,"Rose, Sugar, Strawberries, Lemon Juice","Step 1
Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.","['750 ml', '1/2 cup', '8 oz', '2-3 oz']"
Frappé,Non alcoholic,Coffee / Tea,Highball Glass,"Coffee, Milk, Sugar","Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.","['1/2 cup black ', '1/2 cup ', '1-2 tsp ']"
Foxy Lady,Alcoholic,Ordinary Drink,Cocktail glass,"Amaretto, Creme de Cacao, Light cream","Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.","['1/2 oz ', '1/2 oz ', '2 oz ']"
French 75,Alcoholic,Ordinary Drink,Collins glass,"Gin, Sugar, Lemon juice, Champagne, Orange, Maraschino cherry","Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.","['1 1/2 oz ', '2 tsp superfine ', '1 1/2 oz ', '4 oz Chilled ', '1 ', '1 ']"
Figgy Thyme,Alcoholic,Cocktail,Highball glass,"Vodka, Honey, Figs, Thyme, Angostura Bitters, Tonic Water","In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme.","['2 oz', '1 tsp', '3', '1 Sprig', '2 dashes', 'Top']"
Frisco Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"Blended whiskey, Benedictine, Lemon, Lime, Lemon, Lime",Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,"['2 oz ', '1/2 oz ', 'Juice of 1/4 ', 'Juice of 1/2 ', '1 slice ', '1 slice ']"
Fruit Shake,Non alcoholic,Other / Unknown,Highball Glass,"Yoghurt, Banana, Orange juice, Fruit, Ice",Blend til smooth.,"['1 cup fruit ', '1 ', '4 oz frozen ', '1/2 piece textural ', '6 ']"
Fruit Cooler,Non alcoholic,Other / Unknown,Highball Glass,"Apple juice, Strawberries, Sugar, Lemon, Apple, Soda water, Ice","Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve.","['1 can frozen ', '1 cup ', '2 tblsp ', '1 ', '1 ', '1 L ', None]"
Freddy Kruger,Alcoholic,Shot,Shot glass,"Jägermeister, Sambuca, Vodka",make it an ample size shot!!,"['1/2 oz ', '1/2 oz ', '1/2 oz ']"
Funk and Soul,Alcoholic,Cocktail,Collins glass,"Rum, Apricot Nectar, Pomegranate juice, lemon, Soda Water",Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.,"['2 shots', '1 shot', '1 shot', 'Juice of 1/2', 'Top']"
Fuzzy Asshole,Alcoholic,Coffee / Tea,Coffee mug,"Coffee, Peach schnapps",fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,"['1/2 ', '1/2 ']"
French Martini,Alcoholic,Cocktail,Cocktail glass,"Vodka, Raspberry Liqueur, pineapple juice",Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,"['4.5 cl', '1.5 cl', '1.5 cl']"
French Negroni,Alcoholic,Cocktail,Martini Glass,"Gin, Lillet, Sweet Vermouth, Orange Peel","Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.","['1 oz', '1 oz', '1 oz', '1']"
Fahrenheit 5000,Alcoholic,Shot,Shot glass,"Firewater, Absolut Peppar, Tabasco sauce",Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,"['1/2 oz ', '1/2 oz ', '1 dash ']"
Flying Dutchman,Alcoholic,Ordinary Drink,Old-fashioned glass,"Gin, Triple sec","In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.","['2 oz ', '1/2 oz ']"
Frozen Daiquiri,Alcoholic,Ordinary Drink,Champagne flute,"Light rum, Triple sec, Lime juice, Sugar, Cherry, Ice","Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.","['1 1/2 oz ', '1 tblsp ', '1 1/2 oz ', '1 tsp ', '1 ', '1 cup crushed ']"
Fruit Flip-Flop,Non alcoholic,Other / Unknown,Highball Glass,"Yoghurt, Fruit juice","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","['1 cup ', '1 cup ']"
Flying Scotchman,Alcoholic,Ordinary Drink,Cocktail glass,"Scotch, Sweet Vermouth, Bitters, Sugar syrup","Shake all ingredients with ice, strain into a cocktail glass, and serve.","['1 oz ', '1 oz ', '1 dash ', '1/4 tsp ']"
French Connection,Alcoholic,Ordinary Drink,Old-fashioned glass,"Cognac, Amaretto",Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,"['1 1/2 oz ', '3/4 oz ']"
Flaming Dr. Pepper,Alcoholic,Shot,Collins Glass,"Amaretto, Vodka, 151 proof rum, Dr. Pepper, Beer","Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer","['1 oz ', '1 oz ', '1 oz Bacardi ', '1 oz ', '1 oz ']"
Flaming Lamborghini,Alcoholic,Cocktail,Cocktail glass,"Kahlua, Sambuca, Blue Curacao, Baileys irish cream","Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!","['1 oz ', '1 oz ', '1 oz ', '1 oz ']"
Flander's Flake-Out,Alcoholic,Ordinary Drink,Collins Glass,"Sambuca, Sarsaparilla",Bang 'em both in.,"['1/4 glass ', '3/4 glass ']"
Frozen Mint Daiquiri,Alcoholic,Ordinary Drink,Old-fashioned glass,"Light rum, Lime juice, Mint, Sugar",Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,"['2 oz ', '1 tblsp ', '6 ', '1 tsp ']"
Frozen Pineapple Daiquiri,Alcoholic,Ordinary Drink,Cocktail Glass,"Light rum, Pineapple, Lime juice, Sugar",Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.,"['1 1/2 oz ', '4 chunks ', '1 tblsp ', '1/2 tsp ']"
GG,Optional alcohol,Ordinary Drink,Collins Glass,"Galliano, Ginger ale, Ice",Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.,"['2 1/2 shots ', None, None]"
Gimlet,Alcoholic,Cocktail,Martini Glass,"Gin, Lime Juice, Sugar Syrup, Lime","Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.","['2 1/2 oz', '1/2 oz', '1/2 oz', '1']"
Godchild,Alcoholic,Ordinary Drink,Champagne flute,"Vodka, Amaretto, Heavy cream","Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.","['1 oz ', '1 oz ', '1 oz ']"
Gin Fizz,Alcoholic,Ordinary Drink,Highball glass,"Gin, Lemon, Powdered sugar, Carbonated water","Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.","['2 oz ', 'Juice of 1/2 ', '1 tsp ', None]"
Gin Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"Gin, Lemon juice, Sugar, Orange, Maraschino cherry","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.","['2 oz ', '1 oz ', '1/2 tsp superfine ', '1 ', '1 ']"
Gagliardo,Alcoholic,Cocktail,Cocktail glass,"Peach Vodka, Lemon juice, Galliano, Sirup of roses","Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.","['5 parts ', '3 parts ', '1 part ', '1 part ']"
Godmother,Alcoholic,Ordinary Drink,Old-fashioned glass,"Vodka, Amaretto",Pour vodka and amaretto into an old-fashioned glass over ice and serve.,"['1 1/2 oz ', '3/4 oz ']"
Godfather,Alcoholic,Ordinary Drink,Old-fashioned glass,"Scotch, Amaretto",Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,"['1 1/2 oz ', '3/4 oz ']"
Gluehwein,Optional alcohol,Punch / Party Drink,Irish coffee cup,"Red wine, Water, Sugar, Cinnamon, Cloves, Lemon peel","Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.","['1 L ', '125 ml ', '60 gr ', '1 ', '3 ', '1 tblsp ']"
Gin Tonic,Alcoholic,Cocktail,Highball glass,"Gin, Tonic Water, Lemon Peel, Ice","Fill a highball glass with ice, pour the gin, top with tonic water and squeeze a lemon wedge and garnish with a lemon wedge.","['4 cl', '10 cl', '1 Slice', 'cubes']"
Gin Toddy,Alcoholic,Ordinary Drink,Old-fashioned glass,"Gin, Water, Powdered sugar, Lemon peel","Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.","['2 oz ', '2 tsp ', '1/2 tsp ', '1 twist of ']"
Gin Smash,Alcoholic,Ordinary Drink,Old-fashioned glass,"Gin, Carbonated water, Sugar, Mint, Orange, Cherry","Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.","['2 oz ', '1 oz ', '1 cube ', '4 ', '1 slice ', '1 ']"
Gin Daisy,Alcoholic,Ordinary Drink,Old-fashioned glass,"Gin, Lemon juice, Sugar, Grenadine, Maraschino cherry, Orange","In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.","['2 oz ', '1 oz ', '1/2 tsp superfine ', '1/2 tsp ', '1 ', '1 ']"
Gin Lemon,Alcoholic,Cocktail,Highball glass,"Gin, Lemon Juice, Lemon Peel, Ice","For the preparation of the gin lemon you will not need the shaker. Fill the tumbler with ice, pour the gin and lemonade over it. Gently mix and decorate with a slice of lemon. Those who prefer can also add a few mint leaves. Your gin lemon is ready to be served.","['6 cl', '8 cl', '1 Slice', 'cubes']"
Gin Sling,Alcoholic,Ordinary Drink,Old-fashioned glass,"Gin, Lemon, Powdered sugar, Water, Orange peel",Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,"['2 oz ', 'Juice of 1/2 ', '1 tsp ', '1 tsp ', 'Twist of ']"
Greyhound,Alcoholic,Cocktail,Collins glass,"Vodka, Grapefruit Juice","Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

","['1 1/2 oz', '3 oz']"
Gin Rickey,Alcoholic,Cocktail,Highball glass,"Gin, Grenadine, lemon, Soda Water, Lime",Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,"['2 oz ', '1 tsp ', 'Juice of 1/2 ', 'Top up with', 'Garnish']"
Gin Squirt,Alcoholic,Ordinary Drink,Highball glass,"Gin, Grenadine, Powdered sugar, Pineapple, Strawberries, Carbonated water","Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.","['1 1/2 oz ', '1 tsp ', '1 tblsp ', '3 chunks', '2 ', None]"
Grand Blue,Alcoholic,Ordinary Drink,Old-fashioned glass,"Malibu rum, Peach schnapps, Blue Curacao, Sweet and sour",Serve in an old fashioned glass.,"['1 1/2 cl ', '1 1/2 cl ', '1 1/2 cl ', '3 cl ']"
Gin Cooler,Alcoholic,Ordinary Drink,Collins glass,"Gin, Carbonated water, Powdered sugar, Orange spiral, Lemon peel",Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.,"['2 oz ', None, None, None, None]"
Gin Swizzle,Alcoholic,Ordinary Drink,Highball glass,"Lime juice, Sugar, Gin, Bitters, Club soda","In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.","['1 1/2 oz ', '1 tsp superfine ', '2 oz ', '1 dash ', '3 oz ']"
Grass Skirt,Alcoholic,Ordinary Drink,Old-fashioned glass,"Gin, Triple sec, Pineapple juice, Grenadine, Pineapple","In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.","['1 1/2 oz ', '1 oz ', '1 oz ', '1/2 tsp ', '1 ']"
Grasshopper,Alcoholic,Ordinary Drink,Cocktail glass,"Green Creme de Menthe, Creme de Cacao, Light cream",Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,"['3/4 oz ', '3/4 oz white ', '3/4 oz ']"
Grim Reaper,Alcoholic,Ordinary Drink,Old-fashioned glass,"Kahlua, 151 proof rum, Grenadine",Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,"['1 oz ', '1 oz Bacardi ', '1 dash ']"
Gin and Soda,Alcoholic,Cocktail,Highball glass,"Gin, Soda Water, Lime","Pour the Gin and Soda water into a highball glass almost filled with ice cubes.
Stir well.
Garnish with the lime wedge.","['2 oz', '5 oz', '1/4']"
H.D.,Alcoholic,Coffee / Tea,Beer mug,"Whisky, Baileys irish cream, Coffee",Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,"['4 cl ', '8 cl ', None]"
Honey Bee,Alcoholic,Cocktail,Margarita glass,"White Rum, Honey, Lemon Juice","Shake ingredients with crushed ice
","['6 cl', '2 cl', '2 cl']"
Hot Toddy,Alcoholic,Cocktail,Irish coffee cup,"Whiskey, Honey, Cinnamon, lemon, Cloves","STEP 1
Whisk the whisky and honey together and split between 2 heatproof glasses. Add half of the cinnamon stick to each, then top up with 200ml boiling water.

STEP 2
Add a splash of lemon juice to each, then taste and add more to your preference. Finish each with a slice of lemon, studded with a clove, and serve immediately.","['50 ml', '15 ml', '1', '1', '2']"
Herbal flame,Alcoholic,Coffee / Tea,Mason jar,"Hot Damn, Tea","Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.","['5 shots ', 'very sweet ']"
Horse's Neck,Alcoholic,Ordinary Drink,Highball glass,"Lemon peel, Brandy, Ginger ale, Bitters","Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.","['1 long strip ', '2 oz ', '5 oz ', '2 dashes ']"
Happy Skipper,Alcoholic,Ordinary Drink,Highball glass,"Spiced rum, Ginger ale, Lime, Ice","Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)","['1 1/2 cl ', None, None, None]"
Hunter's Moon,Alcoholic,Cocktail,Balloon Glass,"Vermouth, Maraschino Cherry, Sugar Syrup, Lemonade, Blackberries","Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange.","['25 ml', '15 ml', '10 ml', '100 ml', '2']"
Halloween Punch,Alcoholic,Punch / Party Drink,Punch bowl,"Cherry Juice, Orange Peel, Red Chili Flakes, Cloves, Ginger, Vodka","Tip the cherry juice, orange peel, chilli, cinnamon sticks, cloves and ginger into a large saucepan. Simmer for 5 mins, then turn off the heat. Leave to cool, then chill for at least 4 hrs, or up to 2 days – the longer you leave it the more intense the flavours. If serving to young children, take the chilli out after a few hours.

When you’re ready to serve, pour the juice into a jug. Serve in glass bottles or glasses and pop a straw in each. If you're adding vodka, do so at this stage. Dangle a fangs sweet from each glass.","['1 bottle', '3', '1', '10', '6', '20 cl']"
Havana Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Light rum, Pineapple juice, Lemon juice","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","['1 oz ', '1 oz ', '1 tsp ']"
Holloween Punch,Non alcoholic,Punch / Party Drink,Punch bowl,"Grape juice, Carbonated soft drink, Sherbet, Sherbet","Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine.","[None, ', orange\n', None, None]"
Homemade Kahlua,Alcoholic,Homemade Liqueur,Collins Glass,"Sugar, Corn syrup, Coffee, Vanilla extract, Water, Vodka","Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.","['2 1/2 cups ', '1 cup ', '1 1/2 oz instant ', '2 oz ', '3 cups boiling ', '1 fifth ']"
Hot Creamy Bush,Alcoholic,Coffee / Tea,Irish coffee cup,"Irish whiskey, Baileys irish cream, Coffee",Combine all ingredients in glass,"['1 shot ', '3/4 shot ', '6 oz hot ']"
Harvey Wallbanger,Alcoholic,Ordinary Drink,Collins glass,"Vodka, Galliano, Orange juice","Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.","['1 oz ', '1/2 oz ', '4 oz ']"
Hawaiian Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Gin, Triple sec, Pineapple juice","Shake all ingredients with ice, strain into a cocktail glass, and serve.","['2 oz ', '1/2 oz ', '1 tblsp ']"
Hemingway Special,Alcoholic,Ordinary Drink,Cocktail glass,"Rum, Grapefruit Juice, Maraschino Liqueur, Lime Juice",Pour all ingredients into a shaker with ice. Shake.,"['12 parts', '8 parts', '3 parts', '3 parts']"
Highland Fling Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Scotch, Sweet Vermouth, Orange bitters, Olive",Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,"['1 1/2 oz ', '3/4 oz ', '2 dashes ', '1 ']"
Hot Chocolate to Die for,Non alcoholic,Cocoa,Coffee mug,"Chocolate, Butter, Vanilla extract, Half-and-half, Marshmallows","Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream.","['12 oz fine ', '1 tsp ', '1/2 tsp ', '1 cup ', 'mini ']"
Ipamena,Non alcoholic,Ordinary Drink,Wine Glass,"Lime, Brown sugar, Passion fruit juice, Ginger ale, Ice","Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime","['½', '2 tsp', '4 cl', 'top up with', 'fill']"
Ice Pick,Alcoholic,Ordinary Drink,Collins Glass,"Vodka, Iced tea, Lemon juice",Put Vodka in glass fill with iced tea. Stir in lemon to taste.,"['1 1/2 oz ', '6 oz ', ' to taste\n']"
Iced Coffee,Non alcoholic,Coffee / Tea,Coffee mug,"Coffee, Sugar, Water, Milk",Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.,"['1/4 cup instant ', '1/4 cup ', '1/4 cup hot ', '4 cups cold ']"
Irish Cream,Alcoholic,Homemade Liqueur,Irish coffee cup,"Scotch, Half-and-half, Condensed milk, Coconut syrup, Chocolate syrup",Mix scotch and milk. Add half-and-half. Add rest.,"['1 cup ', '1 1/4 cup ', '1 can sweetened ', '3 drops ', '1 tblsp ']"
Irish Coffee,Alcoholic,Coffee / Tea,Irish coffee cup,"Irish whiskey, Coffee, Sugar, Whipped cream","Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.","['1 1/2 oz ', '8 oz ', '1 tsp ', '1 tblsp ']"
Irish Spring,Alcoholic,Ordinary Drink,Collins glass,"Irish whiskey, Peach brandy, Orange juice, Sweet and sour, Orange, Cherry","Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.","['1 oz ', '1/2 oz ', '1 oz ', '1 oz ', '1 slice ', '1 ']"
Imperial Fizz,Alcoholic,Ordinary Drink,Highball glass,"Light rum, Blended whiskey, Lemon, Powdered sugar, Carbonated water","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","['1/2 oz ', '1 1/2 oz ', 'Juice of 1/2 ', '1 tsp ', None]"
Irish Russian,Alcoholic,Beer,Highball glass,"Vodka, Kahlua, Coca-Cola, Guinness stout",Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,"['1 shot ', '1 shot ', '1 dash ', 'Fill with ']"
Imperial Cocktail,Alcoholic,Cocktail,Cocktail glass,"Lime juice, Gin, Aperol",Shake with ice and strain into cocktail glass.,"['4 cl ', '2 cl ', '4 cl ']"
Iced Coffee Fillip,Alcoholic,Coffee / Tea,Coffee mug,"Kahlua, Coffee",Mix together in a coffee mug and chill before serving.,"['2 tsp ', 'Strong cold ']"
Irish Curdling Cow,Alcoholic,Cocktail,Highball glass,"Baileys irish cream, Bourbon, Vodka, Orange juice","Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.","['3/4 oz ', '3/4 oz ', '3/4 oz ', '2-3 oz ']"
Jam Donut,Alcoholic,Shot,Shot glass,"Baileys irish cream, Chambord raspberry liqueur, Sugar syrup, Sugar","Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.","['2/3 oz', '1/3 oz', '1 tsp', '2 pinches']"
Jitterbug,Alcoholic,Cocktail,Cocktail Glass,"Gin, Vodka, Grenadine, Lime juice, Sugar, Sugar syrup, Soda water","Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!","['2 jiggers ', '1 jigger ', '3 dashes ', '1 shot ', 'Around rim put 1 pinch ', '3 dashes ', 'Fill to top with ']"
Jackhammer,Alcoholic,Ordinary Drink,Collins Glass,"Jack Daniels, Amaretto","Serve over ice- Warning,Deadly!","['1 oz ', '1 oz ']"
Jelly Bean,Alcoholic,Shot,Cordial glass,"Blackberry brandy, Anis",mix equal parts in pony glass-tastes just like a jelly bean!,"['1 oz ', '1 oz ']"
Jello shots,Alcoholic,Shot,Shot glass,"Vodka, Jello, Water","Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...","['2 cups ', '3 packages ', '3 cups ']"
